# Rime user dictionary
#@/db_name	wubi86.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	3375
#@/user_id	d1b2c03e-7ddb-4b91-be3d-a9075c113920
a 	工	c=2 d=0.985112 t=3375
aahw 	工具	c=2 d=0.00307583 t=3375
aaww 	工人	c=1 d=0.156453 t=3375
adgc 	甚至	c=2 d=1.84366 t=3375
adw 	其	c=1 d=0.431711 t=3375
adwb 	其他	c=2 d=0.777696 t=3375
adyn 	期望	c=1 d=1 t=3375
afwh 	某个	c=2 d=0.500804 t=3375
ai 	东	c=4 d=0.913931 t=3375
aisg 	东西	c=2 d=0.946485 t=3375
akft 	或者	c=1 d=1 t=3375
alce 	功能	c=10 d=1 t=3375
alw 	苏	c=1 d=0.715338 t=3375
amyy 	英文	c=2 d=0.847894 t=3375
aqbc 	获取	c=1 d=0.304221 t=3375
aqkl 	区别	c=1 d=0.737123 t=3375
b 	了	c=50 d=8.12294 t=3375
bb 	子	c=5 d=1.75777 t=3375
bc 	取	c=2 d=0.465962 t=3375
bdjf 	随时	c=1 d=1 t=3375
bm 	出	c=3 d=0.625002 t=3375
bmgm 	出现	c=3 d=0.321422 t=3375
bn 	也	c=17 d=2.83067 t=3375
bqt 	聊	c=2 d=1 t=3375
buce 	联通	c=1 d=0.0858632 t=3375
bwwd 	阶段	c=1 d=0.509156 t=3375
c 	以	c=23 d=6.06121 t=3375
cdov 	参数	c=1 d=0.218712 t=3375
ce 	能	c=16 d=3.46417 t=3375
cefp 	通过	c=3 d=2.72316 t=3375
cekq 	通史	c=1 d=0.748264 t=3375
ceqk 	能够	c=22 d=2.97005 t=3375
ceue 	勇毅	c=1 d=0.0026189 t=3375
ceut 	通道	c=2 d=1.14241 t=3375
cf 	对	c=5 d=1 t=3375
cfqj 	对象	c=3 d=2.62669 t=3375
ck 	台	c=3 d=1 t=3375
cqy 	鸡	c=1 d=1 t=3375
cqyt 	允许	c=1 d=1 t=3375
cw 	难	c=1 d=0.00398587 t=3375
cwyg 	难	c=2 d=0.0508158 t=3375
d 	在	c=19 d=2.88831 t=3375
day 	硭	c=1 d=0.310367 t=3375
dd 	大	c=5 d=0.486752 t=3375
ddgf 	大于	c=1 d=0.222017 t=3375
ddov 	套数	c=1 d=0.102284 t=3375
ddut 	大道	c=2 d=0.991443 t=3375
de 	胡	c=3 d=1.09926 t=3375
debv 	有限	c=1 d=1 t=3375
deee 	鬅	c=1 d=0.965605 t=3375
deet 	有用	c=3 d=1.25958 t=3375
def 	有	c=5 d=2.41733 t=3375
derq 	有的	c=1 d=1.01729 t=3375
detj 	有利	c=1 d=0.0117371 t=3375
deu 	長	c=1 d=0.477114 t=3375
deuq 	有效	c=4 d=0.946485 t=3375
deut 	有道	c=29 d=8.23431 t=3375
deut 	鬀	c=1 d=1 t=3375
deyn 	有望	c=1 d=0.00120654 t=3375
dg 	三	c=6 d=1.65975 t=3375
dgnt 	研发	c=1 d=0.506617 t=3375
dhc 	破	c=1 d=0.0930145 t=3375
dhdh 	存在	c=1 d=1 t=3375
dhwy 	存储	c=1 d=0.0925506 t=3375
djdn 	百万	c=1 d=0.460704 t=3375
djya 	百度	c=1 d=0.285076 t=3375
dlkq 	历史	c=3 d=0.0257828 t=3375
dlqk 	奋勉	c=1 d=0.00252883 t=3375
dmdm 	页面	c=4 d=0.00653998 t=3375
dmjd 	面	c=1 d=0.380983 t=3375
dmjg 	而是	c=1 d=0.000141955 t=3375
dmlf 	布置	c=2 d=1.66223 t=3375
dmyy 	而言	c=1 d=0.00031751 t=3375
dn 	成	c=2 d=0.00619203 t=3375
dnsg 	成本	c=8 d=1.67485 t=3375
dpgc 	达到	c=1 d=0.0889216 t=3375
druj 	愿意	c=2 d=1.97045 t=3375
dsdd 	大哥大	c=1 d=0.937067 t=3375
dsds 	大模大样	c=2 d=1.66637 t=3375
dtny 	帮忙	c=1 d=0.67368 t=3375
dugc 	碰到	c=1 d=0.479505 t=3375
dy 	太	c=3 d=1.50919 t=3375
dyn 	态	c=1 d=1 t=3361
e 	有	c=68 d=6.12702 t=3375
eee 	月	c=1 d=0.748264 t=3375
eg 	且	c=1 d=0.00831246 t=3375
ege 	脯	c=1 d=0.640824 t=3375
ep 	爱	c=1 d=0.985112 t=3375
eqq 	胸	c=1 d=0.00562801 t=3375
ese 	彩	c=2 d=1.42733 t=3375
et 	用	c=22 d=5.19247 t=3375
etfc 	用去	c=1 d=0.955997 t=3375
etif 	用法	c=3 d=1.52693 t=3375
etyn 	用户	c=26 d=5.37593 t=3375
ewe 	胗	c=1 d=0.157237 t=3375
faw 	截	c=2 d=0.495765 t=3375
fcap 	运营	c=1 d=0.0113334 t=3375
fcl 	动	c=1 d=0.618783 t=3375
fcrf 	支持	c=2 d=1.42528 t=3375
fcri 	支撑	c=2 d=0.281014 t=3375
fctf 	运行	c=9 d=1.39036 t=3375
fcu 	去	c=3 d=1.10531 t=3375
fdfi 	需求	c=9 d=0.069573 t=3375
fdsv 	需要	c=3 d=1.85032 t=3375
ffuf 	封装	c=1 d=0.00236968 t=3375
fge 	博	c=1 d=0.612626 t=3375
fhgo 	起来	c=8 d=0.479505 t=3375
fhq 	赵	c=1 d=0.618783 t=3375
fhru 	直接	c=1 d=0.852144 t=3375
fhu 	走	c=1 d=0.479505 t=3375
fhw 	真	c=1 d=0.261846 t=3375
fhwm 	颠	c=1 d=0.486752 t=3375
fjt 	乾	c=3 d=1.40626 t=3375
fjtf 	进行	c=2 d=1 t=3375
fkh 	圳	c=1 d=1 t=3375
fkhk 	露	c=6 d=3.36636 t=3375
fl 	协	c=1 d=0.00220948 t=3375
flw 	协	c=1 d=0.00425356 t=3375
flyq 	协义	c=3 d=0.00879938 t=3375
fnw 	块	c=1 d=1 t=3375
fp 	过	c=3 d=1.56674 t=3375
fptk 	过程	c=1 d=0.0125881 t=3375
fq 	无	c=2 d=1.69182 t=3375
fqww 	无从	c=1 d=0.120032 t=3375
ft 	才	c=1 d=0.683861 t=3375
ftb 	孝	c=1 d=0.29523 t=3375
ftgn 	考	c=2 d=0.34496 t=3375
ftha 	考虑	c=1 d=0.946485 t=3375
ftjb 	都	c=11 d=1.65376 t=3375
fwrq 	替换	c=7 d=1.83341 t=3375
fwyc 	零	c=1 d=0.22313 t=3375
fym 	坑	c=1 d=0.337902 t=3375
g 	一	c=64 d=7.85344 t=3375
ga 	开	c=1 d=0.565525 t=3375
gaj 	弄	c=1 d=1 t=3367
gant 	开发	c=20 d=3.3311 t=3375
gavc 	开始	c=2 d=0.56836 t=3375
gc 	到	c=10 d=1.73043 t=3375
ge 	表	c=2 d=1.96561 t=3373
gefi 	表示	c=3 d=0.669608 t=3375
gf 	于	c=2 d=1.18146 t=3375
gfi 	球	c=1 d=0.33454 t=3375
gfq 	玩	c=1 d=0.603506 t=3375
gg 	五	c=2 d=0.633842 t=3375
ggfu 	环境	c=1 d=0.000713734 t=3375
ggg 	王	c=1 d=0.609571 t=3375
ggpg 	一定	c=1 d=0.0297417 t=3375
ggtt 	五笔	c=5 d=2.12818 t=3375
ggwh 	一个	c=2 d=1.27099 t=3375
gh 	下	c=13 d=2.75667 t=3375
ghaa 	正式	c=1 d=0.516851 t=3375
ghfc 	下去	c=1 d=1 t=3375
ghip 	正常	c=3 d=0.366045 t=3375
gi 	不	c=56 d=8.76253 t=3375
gice 	不能	c=3 d=0.185368 t=3375
giet 	不用	c=1 d=0.980199 t=3375
gifp 	不过	c=2 d=0.865066 t=3375
gigc 	不到	c=3 d=0.537808 t=3375
gijg 	不是	c=1 d=0.369443 t=3375
gijg 	还是	c=1 d=0.179481 t=3375
gik 	否	c=1 d=1 t=3375
gikh 	不足	c=1 d=0.000515692 t=3375
gimj 	否则	c=1 d=0.235746 t=3375
gip 	还	c=53 d=6.23033 t=3375
gipo 	不灾	c=1 d=0.0169922 t=3375
giqd 	不然	c=1 d=0.396531 t=3375
gisv 	还要	c=1 d=0.782705 t=3375
givb 	不好	c=2 d=0.264477 t=3375
gjlk 	更加	c=1 d=0.683861 t=3375
gjqe 	理解	c=2 d=0.408608 t=3375
gjrq 	更换	c=1 d=0.00065886 t=3375
gjus 	更新	c=1 d=0.70822 t=3375
gkdt 	事故	c=1 d=0.174645 t=3375
gkng 	事情	c=5 d=2.30918 t=3375
gkwr 	事件	c=1 d=0.501576 t=3375
gm 	现	c=2 d=0.771121 t=3375
gmde 	现有	c=1 d=0.0271874 t=3375
gmdh 	现在	c=1 d=1 t=3375
gmf 	再	c=5 d=2.22144 t=3375
gmww 	两	c=1 d=0.264477 t=3375
gn 	与	c=1 d=1 t=3375
go 	来	c=5 d=1.4257 t=3375
goid 	来源	c=1 d=0.778801 t=3375
goth 	来自	c=1 d=0.537944 t=3375
guck 	平台	c=4 d=0.239168 t=3375
gy 	玉	c=1 d=0.57695 t=3375
h 	上	c=27 d=5.91581 t=3375
ha 	虎	c=2 d=1.31956 t=3375
hask 	虎哥	c=2 d=1.54349 t=3375
hepg 	肯定	c=2 d=1.34646 t=3375
hhgy 	上班	c=2 d=1.00803 t=3375
hhnu 	上屏	c=1 d=0.856415 t=3375
hhwy 	瞿	c=1 d=0.183599 t=3375
hi 	步	c=1 d=0.489192 t=3375
hko 	点	c=5 d=2.11483 t=3375
ho 	眯	c=1 d=0.254107 t=3375
hxf 	些	c=11 d=1.98501 t=3375
hxs 	柴	c=1 d=0.17552 t=3375
i 	不	c=1 d=0.0163259 t=3375
icpb 	汉字	c=1 d=1 t=3375
ie 	肖	c=1 d=0.615697 t=3375
if 	法	c=5 d=1.25665 t=3375
ig 	汪	c=1 d=0.283654 t=3375
igpf 	清寒	c=1 d=0.955997 t=3375
ih 	小	c=9 d=0.658383 t=3375
iidi 	消耗	c=1 d=0.000757869 t=3375
iigu 	水平	c=2 d=0.630123 t=3375
iiii 	水	c=1 d=0.158025 t=3375
ijrs 	混打	c=2 d=1.43849 t=3375
ijwg 	混合	c=1 d=0.23457 t=3375
im 	没	c=19 d=4.5277 t=3375
ima 	澧	c=11 d=7.74768 t=3375
imde 	没有	c=20 d=4.15878 t=3375
imtj 	渢	c=1 d=0.941765 t=3375
imy 	浿	c=1 d=0.995012 t=3375
imya 	测试	c=44 d=17.6072 t=3375
ioio 	淡淡	c=1 d=0.158817 t=3375
ip 	学	c=2 d=1.32628 t=3375
ipj 	渖	c=1 d=0.839457 t=3375
ipm 	沉	c=1 d=0.822835 t=3375
ipmq 	常见	c=1 d=0.826959 t=3375
ipnu 	学习	c=10 d=1.6665 t=3375
iptj 	觉得	c=17 d=4.47468 t=3375
ipun 	沉闷	c=1 d=0.0426384 t=3375
iqp 	逃	c=1 d=0.185444 t=3375
iqrm 	淘	c=1 d=0.187308 t=3375
iv 	当	c=2 d=1 t=3375
iy 	注	c=1 d=1 t=3375
iycq 	流	c=1 d=0.168638 t=3375
iyn 	沪	c=3 d=1.99501 t=3375
iyuj 	注意	c=1 d=0.594521 t=3375
j 	是	c=164 d=16.2669 t=3375
jbc 	最	c=1 d=0.0049667 t=3375
jbnn 	最快	c=1 d=0.00631391 t=3375
jbvb 	最好	c=1 d=0.00634556 t=3375
jf 	时	c=9 d=1.8781 t=3375
jfjf 	时时	c=1 d=0.0117959 t=3375
jftf 	时行	c=1 d=0.29523 t=3375
jfuj 	时间	c=5 d=0.119722 t=3375
jfwh 	时候	c=2 d=1.62563 t=3375
jg 	量	c=2 d=0.196963 t=3375
jgh 	是	c=2 d=1.74464 t=3375
jgj 	量	c=1 d=0.0972957 t=3375
jjfn 	日志	c=4 d=0.594521 t=3375
jjrg 	日后	c=1 d=0.0380064 t=3375
jnbb 	电子	c=6 d=0.0180092 t=3375
jq 	晚	c=1 d=0.341298 t=3375
jqgf 	易于	c=13 d=1.62381 t=3375
jqr 	易	c=1 d=0.404542 t=3375
jtjb 	蚱蜢	c=1 d=0.677057 t=3375
jvko 	照	c=1 d=0.0051953 t=3375
jwg 	蛤	c=1 d=0.548812 t=3375
jykt 	影响	c=11 d=0.0393007 t=3375
jyuk 	景况	c=1 d=0.00148848 t=3375
kc 	吧	c=3 d=1.75204 t=3375
kcg 	吗	c=6 d=1.16504 t=3375
kgd 	吴	c=1 d=0.606531 t=3375
kgi 	呸	c=1 d=0.625002 t=3375
kgn 	号	c=1 d=0.752014 t=3375
kh 	中	c=8 d=2.78951 t=3375
khgf 	足球	c=1 d=0.715338 t=3375
khin 	遗漏	c=5 d=1.24086 t=3375
khq 	跑	c=1 d=0.771052 t=3375
khqn 	跑	c=1 d=0.798516 t=3375
khqy 	遗留	c=1 d=0.0219278 t=3375
khuq 	中奖	c=1 d=0.40657 t=3375
khv 	跟	c=1 d=0.00481991 t=3375
khyy 	中文	c=1 d=0.263158 t=3375
kkd 	器	c=1 d=0.245367 t=3375
kkh 	串	c=1 d=1 t=3375
klj 	别	c=1 d=0.332871 t=3375
km 	员	c=6 d=0.677057 t=3375
ks 	呆	c=2 d=0.927956 t=3375
ktr 	哦	c=3 d=1.07345 t=3375
kw 	只	c=3 d=0.358343 t=3375
kwce 	只能	c=2 d=0.55316 t=3375
kwg 	哈	c=59 d=11.4908 t=3375
kwjg 	只是	c=1 d=0.50409 t=3375
kwkw 	哈哈	c=6 d=3.93431 t=3375
kwsv 	只要	c=1 d=0.847894 t=3375
kyss 	嘛	c=1 d=0.529935 t=3375
l 	国	c=2 d=1.05682 t=3375
lcjq 	轻易	c=3 d=1.46075 t=3375
ld 	因	c=15 d=3.17443 t=3375
ldtr 	因循	c=1 d=1 t=3375
ldyl 	因为	c=1 d=0.473106 t=3375
lfce 	黑熊	c=1 d=1 t=3375
lfrq 	转换	c=2 d=1.24908 t=3375
lftj 	署	c=1 d=0.852144 t=3375
lftv 	团委	c=1 d=0.535261 t=3375
li 	遝	c=1 d=0.722527 t=3375
lk 	加	c=2 d=1.11919 t=3375
lkfa 	加载	c=2 d=0.25924 t=3375
lkfc 	回去	c=1 d=1 t=3375
lktj 	回复	c=2 d=1.53717 t=3375
lkty 	加入	c=1 d=0.115903 t=3375
llww 	男人	c=1 d=1 t=3375
lp 	边	c=1 d=0.644036 t=3375
lpk 	连	c=1 d=0.201897 t=3375
lpru 	连接	c=1 d=0.491644 t=3375
lqw 	软	c=1 d=0.163654 t=3375
lqwr 	软件	c=1 d=0.165299 t=3375
lscw 	困难	c=2 d=0.0553883 t=3375
ltu 	图	c=2 d=0.975348 t=3375
lwbm 	输出	c=1 d=1 t=3375
lwif 	办法	c=2 d=1.91851 t=3375
lwty 	输入	c=7 d=2.49673 t=3375
ma 	曲	c=10 d=4.28813 t=3375
mck 	贻	c=1 d=0.18452 t=3375
mdf 	岩	c=1 d=1 t=3375
mee 	崩	c=1 d=0.909373 t=3375
mfk 	周	c=1 d=1 t=3375
mggk 	同事	c=1 d=0.0409665 t=3375
mghi 	同步	c=1 d=0.810584 t=3375
mgjf 	同时	c=3 d=1 t=3375
mi 	峭	c=1 d=0.847894 t=3375
mmmm 	山	c=1 d=0.965605 t=3375
mq 	风	c=1 d=0.0507928 t=3375
mqj 	刚	c=1 d=0.208045 t=3375
mqjq 	网易	c=2 d=0.342391 t=3375
mqmq 	刚刚	c=1 d=0.364219 t=3375
mqq 	网	c=1 d=1 t=3375
mqrp 	风控	c=3 d=0.25047 t=3375
mtd 	峰	c=1 d=0.484325 t=3375
mwdh 	内存	c=1 d=1 t=3375
n 	民	c=1 d=0.496585 t=3375
nafi 	展示	c=2 d=0.00304703 t=3375
naip 	异常	c=2 d=1 t=3375
nat 	懂	c=1 d=1 t=3365
ncf 	怪	c=1 d=0.292293 t=3375
nda 	惰	c=1 d=0.666977 t=3375
ne 	忣	c=2 d=1.05155 t=3375
nguk 	情况	c=8 d=1.5748 t=3375
nhgc 	收到	c=2 d=1 t=3375
nnde 	已有	c=1 d=0.141564 t=3375
ntce 	性能	c=4 d=0.786585 t=3375
ntdm 	发布	c=7 d=0.00887441 t=3375
ntg 	性	c=5 d=0.336177 t=3375
ntxw 	发给	c=1 d=0.839457 t=3375
nua 	屏	c=1 d=0.516851 t=3375
nuaj 	屏幕	c=1 d=0.211189 t=3375
ny 	心	c=1 d=0.263158 t=3375
o 	为	c=12 d=1.87876 t=3375
od 	类	c=3 d=1.46101 t=3375
odga 	类型	c=8 d=3.15744 t=3375
ogtl 	业务	c=5 d=0.302123 t=3375
op 	迷	c=1 d=0.00360656 t=3375
ovpb 	数字	c=2 d=1.42021 t=3375
ovrn 	数据	c=12 d=4.26028 t=3375
ovxe 	数组	c=1 d=0.472367 t=3375
p 	这	c=42 d=8.26111 t=3375
pam 	宽	c=5 d=0.920515 t=3375
pbma 	字典	c=13 d=4.52813 t=3375
pbtw 	字符	c=2 d=1.99005 t=3375
pfdn 	完成	c=10 d=0.0709619 t=3375
pfwg 	完全	c=2 d=0.470642 t=3375
pg 	定	c=10 d=0.814647 t=3375
pgn 	写	c=3 d=0.999186 t=3375
pgrm 	定制	c=2 d=0.591942 t=3375
pgwu 	定位	c=11 d=1.72821 t=3375
pgy 	宝	c=1 d=0.189191 t=3375
pgyq 	定义	c=1 d=1 t=3375
pj 	审	c=1 d=0.923116 t=3375
pjsy 	审核	c=1 d=0.109701 t=3375
po 	灾	c=1 d=0.000184106 t=3375
